code,dong,gu,population,crime_rate,conv_cnt,mart_cnt,hosp_cnt,bus_cnt,cctv_cnt,park_cnt,subway_dist_m,subway_access
11140520,소공동,중구,25857,116.46,171,184,15,138,339,17,117.8,0.7901
11110515,청운효자동,종로구,17336,98.57,21,23,1,38,223,4,1012.7,0.1319
11110530,사직동,종로구,24576,98.57,75,78,8,104,294,18,347.9,0.4987
11110540,삼청동,종로구,6983,98.57,6,16,0,36,94,4,1371.8,0.0643
11110550,부암동,종로구,10779,98.57,12,11,0,47,116,2,1956.9,0.02
11110560,평창동,종로구,18486,98.57,4,2,1,21,32,3,3113.8,0.002
11110570,무악동,종로구,6027,98.57,29,28,2,60,236,11,291.2,0.5585
11110580,교남동,종로구,7306,98.57,62,55,10,111,280,18,628.2,0.2847
11110600,가회동,종로구,6003,98.57,34,33,13,71,130,4,676.9,0.2583
11110615,종로1?2?3?4가동,종로구,61332,98.57,113,107,16,100,225,10,296.4,0.5527
11110630,종로5?6가동,종로구,14236,98.57,94,173,8,92,304,8,311.0,0.5369
11110640,이화동,종로구,35652,98.57,66,59,16,71,274,8,308.5,0.5395
11110650,혜화동,종로구,31843,98.57,52,46,13,88,269,4,690.2,0.2515
11110670,창신1동,종로구,8141,98.57,104,161,8,79,447,9,164.1,0.7203
11110680,창신2동,종로구,6780,98.57,83,120,6,83,376,11,485.9,0.3784
11110690,창신3동,종로구,4985,98.57,80,86,4,69,407,12,194.8,0.6773
11110700,숭인1동,종로구,8245,98.57,103,126,11,75,398,14,310.9,0.537
11110710,숭인2동,종로구,11810,98.57,116,153,14,77,382,18,311.9,0.5359
11140540,회현동,중구,28013,116.46,136,173,9,96,428,11,201.7,0.668
11140550,명동,중구,39471,116.46,220,225,7,114,336,15,273.0,0.5792
11140570,필동,중구,13923,116.46,89,69,2,30,204,2,482.1,0.3813
11140580,장충동,중구,11241,116.46,76,50,7,38,317,6,492.2,0.3736
11140590,광희동,중구,23278,116.46,143,194,4,81,393,6,150.3,0.7404
11140605,을지로동,중구,16710,116.46,173,195,6,89,332,13,111.2,0.8006
11140615,신당동,중구,20157,116.46,131,172,8,79,479,10,221.5,0.6421
11140625,다산동,중구,13888,116.46,62,44,8,55,393,5,191.7,0.6816
11140635,약수동,중구,13151,116.46,47,32,7,92,379,9,371.1,0.4761
11140645,청구동,중구,9192,116.46,88,63,10,107,463,10,401.2,0.4483
11140650,신당5동,중구,6631,116.46,90,120,7,96,453,20,298.6,0.5503
11140665,동화동,중구,11925,116.46,93,91,8,102,490,18,412.4,0.4383
11140670,황학동,중구,12178,116.46,120,155,13,85,418,22,339.5,0.5071
11140680,중림동,중구,8119,116.46,116,109,9,122,430,16,300.2,0.5486
11290575,동선동,성북구,24372,53.11,79,60,6,114,246,6,216.1,0.6491
11290580,돈암1동,성북구,10192,53.11,59,59,7,117,271,10,409.4,0.441
11290590,돈암2동,성북구,13943,53.11,72,57,8,124,270,6,655.1,0.2698
11290600,안암동,성북구,28277,53.11,103,61,7,76,268,10,225.7,0.6367
11290610,보문동,성북구,13602,53.11,100,71,9,88,379,13,272.4,0.58
11290620,정릉1동,성북구,12654,53.11,56,62,2,123,304,15,317.5,0.5299
11290630,정릉2동,성북구,17558,53.11,53,36,4,115,258,9,436.1,0.418
11290640,정릉3동,성북구,16412,53.11,24,16,1,31,92,1,1206.5,0.0895
11290650,정릉4동,성북구,16180,53.11,2,5,0,3,21,0,1703.5,0.0331
11290660,길음1동,성북구,35101,53.11,57,58,6,107,420,21,711.4,0.2411
11290685,길음2동,성북구,18460,53.11,54,74,7,116,542,21,572.6,0.3182
11290705,종암동,성북구,38840,53.11,49,44,4,98,225,11,798.4,0.2026
11290715,월곡1동,성북구,26916,53.11,65,70,6,126,524,16,787.0,0.2072
11290725,월곡2동,성북구,22843,53.11,36,38,1,53,226,14,371.0,0.4761
11290760,장위1동,성북구,19338,53.11,44,60,1,124,451,9,1025.7,0.1285
