region_name,park_count,park_area_per_person,park_ratio,large_park_count,food_count,cafe_count,hamburger_count,fastfood_count,running_friendly_score,commercial_area_score
종로구,40,76.52,47.87,3,6628,1486,56,352,87.2,31.41
중구,24,24.57,32.37,1,6158,1315,51,312,36.82,25.42
용산구,13,8.25,8.19,0,5147,1086,47,306,2.71,18.04
성동구,17,10.97,18.34,2,4532,970,42,370,20.82,15.19
광진구,17,9.92,20.28,2,5026,974,65,428,21.66,24.02
동대문구,12,3.39,8.55,0,5111,901,50,411,0.23,19.51
중랑구,20,13.56,28.25,1,4176,715,47,372,26.76,12.17
성북구,23,19.62,34.72,1,4544,1007,55,422,35.61,20.19
강북구,38,50.34,61.71,4,3692,593,42,322,87.83,6.4
도봉구,30,33.17,49.16,3,2811,521,35,302,63.12,0.2
노원구,27,29.69,41.59,3,4385,900,76,466,54.6,24.52
은평구,29,30.94,48.46,2,4427,842,54,425,57.28,17.71
서대문구,21,16.02,28.96,1,4172,883,57,362,28.94,16.13
마포구,17,12.26,19.16,2,9120,2270,79,565,21.89,60.99
양천구,15,7.02,17.51,0,3724,795,55,388,9.72,13.8
강서구,14,8.04,10.9,0,7006,1419,88,582,5.11,46.1
구로구,16,9.01,18.45,0,4653,822,41,385,11.87,14.11
금천구,18,11.6,21.31,1,3649,708,43,295,19.98,7.03
영등포구,14,7.56,12.23,2,7671,1482,69,513,13.28,42.81
동작구,19,11.27,26.69,1,3803,783,54,373,24.08,13.27
관악구,26,25.17,42.18,1,5591,968,54,469,44.91,24.62
서초구,26,36.49,32.1,3,6771,1615,99,478,50.46,47.05
강남구,18,13.86,19.77,1,12578,2672,143,810,19.91,100.0
송파구,15,7.28,14.1,3,8139,1706,106,725,18.85,61.82
강동구,14,7.07,13.85,0,5044,1052,55,467,6.64,23.81
